CLSD: Equity Bond = -45.56555118853405%
CLSK: Equity Bond = -4.415422647788911%
CLST: Equity Bond = 1.3727295457795707%
CLYM: Equity Bond = -26.222494343933633%
CMCO: Equity Bond = 7.522055234077375%
CMCSA: Equity Bond = 16.35900831764184%
CMCT: Equity Bond = -495.66281223732557%
CME: Equity Bond = 4.789646065171744%
CMLS: Equity Bond = -718.1031715776511%
CMPO: Equity Bond = 7.705398248531517%
CMPX: Equity Bond = -10.027512409389006%
CMRX: Equity Bond = -24.011482692019033%
CMTL: Equity Bond = -56.247763090628865%
CNDT: Equity Bond = -53.654458499650026%
CNFR: Equity Bond = -203.6921465334804%
Error for CNFRZ: 'Pretax Income'
CNOB: Equity Bond = 12.086196648886364%
CNSP: Equity Bond = -340.8765683691884%
Error for CNTM: can only convert an array of size 1 to a Python scalar
CNTX: Equity Bond = -36.64335309318975%
CNTY: Equity Bond = -24.895092131897357%
CNVS: Equity Bond = -16.303291970930932%
CNXC: Equity Bond = 12.824381446553554%
CNXN: Equity Bond = 5.939578033817463%
COCO: Equity Bond = 2.757812971997821%
COCP: Equity Bond = -94.52822248781419%
CODA: Equity Bond = 3.8359106558106753%
CODX: Equity Bond = -162.39092195578883%
COEP: Equity Bond = -76.38286562023706%
COFS: Equity Bond = 8.615455262060737%
COGT: Equity Bond = -19.37559489500957%
COHU: Equity Bond = 4.374218982298485%
COIN: Equity Bond = -0.13185833856664256%
COKE: Equity Bond = 5.279447842546916%
COLB: Equity Bond = 8.225213900702439%
COLL: Equity Bond = 7.526588187328276%
COLM: Equity Bond = 6.6946891980554994%
COMM: Equity Bond = -66.5094773828125%
COO: Equity Bond = 2.169932235339027%
COOP: Equity Bond = 9.920754392804124%
CORT: Equity Bond = 1.7863329545387319%
CORZ: Equity Bond = -7.138846344519891%
COSM: Equity Bond = -110.24814508835772%
COST: Equity Bond = 1.9008394769375374%
COYA: Equity Bond = -6.836107647249744%
CPB: Equity Bond = 9.923553566433323%
CPBI: Equity Bond = 3.4947995406661945%
CPHC: Equity Bond = 14.382386497026134%
CPIX: Equity Bond = -21.012959535841055%
CPRT: Equity Bond = 2.7928727347128572%
CPRX: Equity Bond = 3.503060313906021%
CPSH: Equity Bond = 7.724480558839401%
CPSS: Equity Bond = 24.416650386768342%
CPZ: Equity Bond = 3.5658072357520663%
CRAI: Equity Bond = 4.227607453672419%
CRBP: Equity Bond = -38.508550399433915%
CRBU: Equity Bond = -82.12098638449021%
CRCT: Equity Bond = 28.460594100588253%
CRDF: Equity Bond = -15.534818855525181%
CRDO: Equity Bond = -0.14916607432383894%
CREX: Equity Bond = -10.97173977385991%
CRGX: Equity Bond = -58.42044907978433%
CRIS: Equity Bond = -160.45176568076664%
CRKN: Equity Bond = -269.8440185382766%
CRMD: Equity Bond = -7.745444355832974%
CRMT: Equity Bond = 6.582890990060037%
CRNC: Equity Bond = -7.444891537572711%
CRNX: Equity Bond = -5.96362568230723%
CROX: Equity Bond = 15.541642497957515%
CRSR: Equity Bond = -0.364745019222765%
CRUS: Equity Bond = 4.827535302144281%
CRVL: Equity Bond = 1.419080654470418%
CRVO: Equity Bond = -11.591984320999149%
CRVS: Equity Bond = -8.296588415770325%
CRWD: Equity Bond = -0.16326942427211116%
CRWS: Equity Bond = 15.94801933588891%
CSBR: Equity Bond = -3.84099326350164%
CSCO: Equity Bond = 6.300911946112296%
CSGP: Equity Bond = 1.592190396624061%
CSGS: Equity Bond = 5.379376720614113%
CSLR: Equity Bond = -73.27704458900386%
CSPI: Equity Bond = 2.4850852791626297%
CSQ: Equity Bond = 5.828113534283925%
CSTL: Equity Bond = -7.124229568098627%
CSWC: Equity Bond = 3.7710607663570284%
Error for CSWCZ: 'Pretax Income'
CSWI: Equity Bond = 2.3275779618033687%
CSX: Equity Bond = 7.8015172580018515%
CTAS: Equity Bond = 2.074920197946741%
CTBI: Equity Bond = 10.312567563819346%
CTCX: Equity Bond = -166.5716864770995%
CTHR: Equity Bond = -310.5626266542926%
CTKB: Equity Bond = -2.262594998131116%
CTLP: Equity Bond = 0.13584401056965195%
CTMX: Equity Bond = 5.054353808286248%
CTNM: Equity Bond = 12.981455254414056%
CTNT: Equity Bond = 3.1868984503433317%
CTOR: Equity Bond = -13.839040581083454%
CTRN: Equity Bond = 35.790780891912284%
CTSH: Equity Bond = 6.780393416380559%
CTSO: Equity Bond = -48.122969788083296%
CTXR: Equity Bond = -138.28716134211757%
Error for CUB: 'Pretax Income'
CUBA: Equity Bond = 20.270943754797546%
Error for CUBWU: 'Pretax Income'
Error for CUBWW: 'Pretax Income'
CUE: Equity Bond = -56.79665457595274%
CURI: Equity Bond = -33.54687605722228%
CUTR: Equity Bond = -1870.9146945542495%
CVBF: Equity Bond = 11.096314883271715%
CVCO: Equity Bond = 7.3717910738728225%
CVGI: Equity Bond = 50.65527968914849%
CVGW: Equity Bond = 3.0219935033443837%
CVKD: Equity Bond = -23.71488920435203%
CVLT: Equity Bond = -0.21916728923283285%
CVRX: Equity Bond = -10.9437913154314%
CVV: Equity Bond = -16.696713319263612%
CWBC: Equity Bond = 9.431183527191626%
CWD: Equity Bond = -293.7033676453458%
CWST: Equity Bond = 0.5456026322610408%
Error for CXAI: can only convert an array of size 1 to a Python scalar
CXDO: Equity Bond = -0.1700021342995224%
CYCC: Equity Bond = -652.2899920319068%
CYCCP: Equity Bond = -29.630510972369205%
CYCN: Equity Bond = -87.34383466137392%
CYN: Equity Bond = -907.4253376202021%
CYRX: Equity Bond = -27.233714779683392%
CYTH: Equity Bond = -80.63872129532001%
CYTK: Equity Bond = -9.200796165640003%
CZFS: Equity Bond = 7.475323873375308%
CZNC: Equity Bond = 9.391911836373874%
CZR: Equity Bond = -0.7947636309380499%
CZWI: Equity Bond = 12.041993047803507%
